meanExp,defeats,meanIAT,victories,redReferee,weight,yellowReferee,seIAT,height,seExp,ties,goals,games,allCards,mean_rater,age,England,France,Germany,Spain,Attacking Midfielder,Center Back,Center Forward,Center Midfielder,Defensive Midfielder,Goalkeeper,Left Fullback,Left Midfielder,Left Winger,Right Fullback,Right Midfielder,Right Winger
0.398671386345732,3015,0.3326030004512264,3151,0.0,71.0,0.10634952412385981,0.00011229010377022425,182.0,0.0005229966380106101,2416,103,8582,0,0.0,37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.3809450770411496,1120,0.34145198548945255,1198,0.01305035181426759,73.0,0.35007490918875395,0.0001270180219690374,183.0,0.0005609913789750227,655,584,2973,1,0.0,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.3994589585924192,1627,0.33238947574440975,2560,0.0,63.0,0.13332890396692065,0.00012843637050923798,165.0,0.0006668989167889554,1281,387,5468,0,0.0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.43019708431191134,446,0.33638559580586574,882,0.0013204426357864725,76.0,0.2846743336863622,0.00026562515156671406,178.0,0.0014153105709631619,296,213,1624,1,0.0,26,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.3288947495958418,201,0.33188222279136326,198,0.027047776571755156,73.0,0.09466721800114304,0.0008410740111901179,180.0,0.0031083724384044246,197,7,596,6,0.0,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.31724719844728644,105,0.3279852513339887,141,0.0,74.0,0.16059721622082046,0.001304288404106621,180.0,0.0038240207138041,85,12,331,1,1.0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.42827050618268153,11,0.3435561047003178,11,0.0,80.0,0.0,0.00025254414720090603,189.0,0.0010791494801613882,10,0,32,0,1.0,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3901839204179467,4,0.348498320039164,0,0.0,83.0,0.0,0.000338696009825055,188.0,0.0013800607101890326,1,0,5,0,1.0,26,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4023141957052994,180,0.34413010224819385,115,0.03603389738319778,68.0,0.17224632034239412,0.00017169322420612854,180.0,0.000696638346331129,60,5,355,2,1.0,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.34139538288887117,73,0.33973277263478535,42,0.00672595055043022,70.0,0.05380760440344176,0.00015054089587998741,179.0,0.0008048977375058722,19,0,134,1,1.0,23,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4917223266718158,12,0.34953371311089426,19,0.0,78.0,0.04510865811806623,0.0011053134235007784,180.0,0.007225422146492765,8,0,39,0,1.0,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5603194707219478,305,0.3635490607073871,311,0.014233253289600793,78.0,0.5290844710866917,0.00047478037246798647,185.0,0.002437768701802172,245,83,861,5,0.0,31,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.3927139265475173,367,0.3319861108421998,884,0.036301872976283726,75.0,0.31398443383649316,0.00010510831915355734,188.0,0.00046380928244488424,464,164,1715,2,1.0,30,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.335966892400301,377,0.3366281626427202,509,0.0,79.0,0.6887632054046311,5.45402511307641e-05,184.0,0.00022506163657901726,372,46,1258,1,0.0,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.3628004117754783,251,0.32794741574226305,290,0.0,90.0,0.020460889535373183,2.222816121424791e-05,188.0,9.313680685384156e-05,204,4,745,0,0.0,32,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.4932770646412362,157,0.36631173124059346,128,0.0,76.0,0.21778108672866905,0.0004031650766818148,188.0,0.0019448977283128353,93,46,378,0,0.0,28,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
